id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
36073318,Private Urban Suite with Vaulted Ceilings,5644416,Courtney,Queen Anne,West Queen Anne,47.63704,-122.37145,Entire home/apt,,2,215,5/6/2024,3.57,3,0,33,STR-OPLI-24-000351
36107139,New 2-bed/1.5bath private apt. Close to Downtown!,271110898,Binh,Central Area,Atlantic,47.5846,-122.301,Entire home/apt,133,1,467,6/17/2024,7.77,1,24,111,STR-OPLI-19-001124
36109021,"The Maxwell Hotel, Aria King",270104354,The Maxwell Hotel,Queen Anne,Lower Queen Anne,47.62567,-122.35077,Private room,332,1,246,6/16/2024,4.42,6,348,57,Exempt
36109243,"The Maxwell Hotel, Aria King Mobility Accessible",270104354,The Maxwell Hotel,Queen Anne,Lower Queen Anne,47.62566,-122.35085,Private room,,1,45,2/29/2024,0.82,6,326,1,Exempt
36109379,"The Maxwell Hotel, Divas Dressing Room",270104354,The Maxwell Hotel,Queen Anne,Lower Queen Anne,47.62566,-122.35085,Private room,,1,2,10/28/2022,0.05,6,268,0,Exempt
36111633,"The Maxwell Hotel, Duet Queen",270104354,The Maxwell Hotel,Queen Anne,Lower Queen Anne,47.62566,-122.35085,Private room,,1,88,6/16/2024,1.57,6,343,24,Exempt
36111813,"The Maxwell Hotel, Maestro Suite",270104354,The Maxwell Hotel,Queen Anne,Lower Queen Anne,47.62566,-122.35085,Private room,192,1,3,11/6/2022,0.08,6,277,0,Exempt
36111871,"The Maxwell Hotel, Prima Donna Suite",270104354,The Maxwell Hotel,Queen Anne,Lower Queen Anne,47.62566,-122.35085,Private room,175,1,7,10/17/2022,0.15,6,277,0,Exempt
36114524,Comfy Bungalow near Lake Washington & LightRail,22990999,Rebecca,Rainier Valley,Mount Baker,47.5793,-122.29377,Entire home/apt,120,2,152,6/20/2024,2.61,1,288,45,STR-OPLI-21-000173
36135642,Modern Apt in Quiet Top of Queen Anne Location,4856099,Melissa,Queen Anne,North Queen Anne,47.64313,-122.36934,Entire home/apt,148,2,52,9/25/2023,0.86,2,15,2,STR-OPLI-19-000678
36185059,Boutique Chic Garden Retreat a Fremont Oasis,204028931,Alycia,Other neighborhoods,Fremont,47.65974,-122.36433,Entire home/apt,239,1,67,4/1/2024,1.17,1,309,10,STR-OPLI-19-000230
36201051,"Hotel Five, Urban King",270113921,Hotel Five,Downtown,Belltown,47.61558,-122.34177,Private room,,1,7,2/4/2024,0.15,5,355,1,Exempt
36201350,"Hotel Five, Urban Queen",270113921,Hotel Five,Downtown,Belltown,47.61558,-122.34177,Private room,322,1,379,5/30/2024,7.14,5,364,106,Exempt
36201648,"Hotel Five, Urban Queen Mobility Accessible",270113921,Hotel Five,Downtown,Belltown,47.61558,-122.34177,Private room,,1,29,4/22/2023,0.54,5,326,0,Exempt
36201756,"Hotel Five, Urban Suite",270113921,Hotel Five,Downtown,Belltown,47.61558,-122.34177,Private room,,1,9,3/16/2023,0.19,5,319,0,Exempt
36201910,"Hotel Five, Urban Two Queen",270113921,Hotel Five,Downtown,Belltown,47.61558,-122.34177,Private room,,1,122,5/18/2024,2.21,5,353,20,Exempt
36202177,"University Inn, Deluxe King",270114059,University Inn,University District,University District,47.65813,-122.31738,Private room,305,1,4,11/21/2023,0.08,6,334,1,Exempt
36212430,Seattle Home Away From Home!,44975633,Terry,Delridge,South Delridge,47.51946,-122.36184,Entire home/apt,151,1,273,6/18/2024,4.62,3,222,27,STR-OPLI-19-000813
36212774,Seattle Tiny House - New Hot Tub 12/15!,44975633,Terry,Delridge,South Delridge,47.51966,-122.36071,Entire home/apt,107,1,297,5/31/2024,5.01,3,231,19,STR-OPLI-19-000813
36213039,Seattle Full Property/2 Homes/New Hot Tub!,44975633,Terry,Delridge,South Delridge,47.51945,-122.36111,Entire home/apt,152,1,57,6/3/2024,0.99,3,222,15,STR-OPLI-19-000813
36235581,"University Inn, Deluxe Queen Mobility Acc. w/Tub",270114059,University Inn,University District,University District,47.65813,-122.31738,Private room,278,1,7,9/7/2023,0.15,6,312,1,Exempt
36235813,"University Inn, Deluxe Two Queen",270114059,University Inn,University District,University District,47.65813,-122.31738,Private room,309,1,6,11/19/2023,0.12,6,353,3,Exempt
36235984,"University Inn, Premier King",270114059,University Inn,University District,University District,47.65813,-122.31738,Private room,350,1,5,9/12/2021,0.13,6,351,0,Exempt
36236107,"University Inn, Traditional Queen",270114059,University Inn,University District,University District,47.65813,-122.31738,Private room,278,1,41,12/27/2023,0.76,6,327,9,Exempt
36236176,"University Inn, Traditional Two Queen",270114059,University Inn,University District,University District,47.65813,-122.31738,Private room,291,1,37,2/23/2024,0.71,6,318,21,Exempt
36236883,"Watertown Hotel, Boardroom Suite",270114169,Watertown Hotel,University District,University District,47.65952,-122.31741,Private room,374,1,5,8/15/2022,0.11,6,352,0,Exempt
36237111,"Watertown Hotel, Montlake Junior Suite",270114169,Watertown Hotel,University District,University District,47.65952,-122.31741,Private room,380,1,15,8/26/2022,0.31,6,316,0,Exempt
36237271,"Watertown Hotel, Studio King Mobility Acc w/Tub",270114169,Watertown Hotel,University District,University District,47.65952,-122.31741,Private room,326,1,4,4/24/2023,0.1,6,277,0,Exempt
36237679,"Watertown Hotel, Studio Suite Mobility Acc w/Tub",270114169,Watertown Hotel,University District,University District,47.65952,-122.31741,Private room,362,1,8,4/16/2022,0.16,6,329,0,Exempt
36237869,"Watertown Hotel, Studio Two Queen",270114169,Watertown Hotel,University District,University District,47.65952,-122.31741,Private room,344,1,72,5/19/2024,1.35,6,356,14,Exempt
36286516,The Waterfront Gray on Alki Beach,18771201,Preet,West Seattle,Alki,47.58761227,-122.3960337,Entire home/apt,178,30,11,6/2/2024,0.49,2,203,3,STR-OPLI-20-000871
36316902,Spacious Capitol Hill Home Base,210519476,Yuki,Capitol Hill,Broadway,47.61793,-122.31818,Entire home/apt,189,1,223,6/12/2024,3.68,2,112,42,STR-OPLI-19-002586
36388994,Sunbreak Suite in Fremont with Park Views,76642600,Caitlin,Other neighborhoods,Fremont,47.66076868,-122.3595,Entire home/apt,180,1,64,6/8/2024,3.13,6,121,33,STR-OPLI-19-001538
36444242,Alki Rooftop Retreat,274006405,Kerri,West Seattle,Alki,47.57882,-122.40929,Entire home/apt,329,2,324,6/22/2024,5.49,1,33,54,STR-OPLI-19-000713
